Term	df	offset
discredit	1	8777
discreet	1	8778
discuss	8	8779
diseas	1	8787
disgusting	1	8788
disharmoni	1	8789
dislik	3	8790
disney	1	8793
disorgan	1	8794
dispar	2	8795
dispassion	1	8797
dispens	1	8798
display	2	8799
disreput	1	8801
disrupt	1	8802
dissatisfact	1	8803
dissolut	1	8804
dissolv	1	8805
dissuad	1	8806
distanc	1	8807
distinct	3	8808
distinguish	1	8811
distort	1	8812
distract	2	8813
distraught	1	8815
distress	2	8816
distributor	1	8818
distrust	1	8819
disturb	3	8820
ditzi	2	8823
divert	1	8825
divis	1	8826
divorc	1	8827
divorced/widow	1	8828
do	33	8829
doctor	4	8862
docu	1	8866
document	4	8867
documentari	7	8871
dodg	1	8878
doe	9	8879
doesnt	27	8888
dog	9	8915
doin	1	8924
dolbi	1	8925
doll	2	8926
dollar	6	8928
dolphin	1	8934
domain	1	8935
domin	6	8936
domino	1	8942
don	5	8943
done	14	8948
donna	1	8962
donner	1	8963
donovan	1	8964
dont	42	8965
doom	2	9007
door	5	9009
dopi	1	9014
dori	1	9015
dorothi	1	9016
dose	2	9017
doubl	2	9019
doubt	7	9021
dove	1	9028
dow	1	9029
down	39	9030
downbeat	1	9069
downey	1	9070
downfal	1	9071
downhil	1	9072
downtown	1	9073
dozen	4	9074
dr	4	9078
drab	2	9082
dracula	1	9084
draft	1	9085
drag	4	9086
dragnet	2	9090
drain	1	9092
drama	10	9093
dramat	8	9103
draw	1	9111
drawl	1	9112
drawn	5	9113
dream	9	9118
dreamscap	1	9127
dreari	1	9128
drench	1	9129
dress	2	9130
drew	2	9132
dreyfus	2	9134
dri	2	9136
drift	1	9138
drifter	1	9139
drill	2	9140
drink	4	9142
drive	7	9146
driven	2	9153
driver	2	9155
drolleri	1	9157
drop	8	9158
dross	1	9166
drudgeri	1	9167
drug	7	9168
drunk	1	9175
drunkard	1	9176
drunken	1	9177
dub	2	9178
dubious	1	9180
duck	2	9181
due	120	9183
duff	1	9303
dull	5	9304
dumb	3	9309
dump	2	9312
dunn	1	9314
duplic	1	9315
dure	21	9316
dust	1	9337
dustin	2	9338
dutch	1	9340
duti	4	9341
duval	1	9345
dye	1	9346
dynam	1	9347
e.g	1	9348
e.t	3	9349
each	20	9352
ead	1	9372
eager	2	9373
eal	1	9375
ear	11	9376
earli	20	9387
earlier	8	9407
earn	1	9415
earnest	2	9416
earth	7	9418
earthi	1	9425
eas	1	9426
easi	7	9427
easier	2	9434
easili	5	9436
east	2	9441
eastwick	3	9443
eastwood	1	9446
eat	2	9447
ebert	5	9449
ec	1	9454
eccentr	5	9455
echo	5	9460
ecl	6	9465
econom	4	9471
ed	2	9475
eddi	3	9477
edg	5	9480
edgar	1	9485
edifi	1	9486
edit	6	9487
edith	1	9493
editor	2	9494
editori	120	9496
edmond	1	9616
educ	3	9617
edward	5	9620
edwardss	1	9625
edwina	1	9626
eeri	2	9627
ee}!uiucdcs!rend	1	9629
effect	30	9630
effort	8	9660
effortless	1	9668
ego	2	9669
eh	2	9671
eight	3	9673
eisenstein	2	9676
either	14	9678
elain	1	9692
elder	6	9693
elect	1	9699
electron	1	9700
element	13	9701
eleph	1	9714
eli!oz	1	9715
elig	1	9716
elimin	1	9717
elisabeth	2	9718
elit	1	9720
elizabeth	1	9721
ellen	1	9722
elli	1	9723
elliot	4	9724
elliott	1	9728
ellison	1	9729
elm	2	9730
els	24	9732
elsewher	5	9756
elucid	1	9761
elvi	1	9762
embodi	1	9763
embu	1	9764
emerald	1	9765
emilio	1	9766
emlyn	1	9767
emot	12	9768
emotionless	1	9780
emphas	2	9781
emphasi	1	9783
empir	2	9784
employ	2	9786
employe	1	9788
empti	6	9789
emt	1	9795
enabl	1	9796
enact	2	9797
encamp	1	9799
encas	1	9800
encount	5	9801
encourag	3	9806
encyclopedia	1	9809
end	43	9810
endeavor	1	9853
endless	1	9854
enemi	1	9855
enforc	3	9856
engelbrecht	1	9859
engin	2	9860
england	5	9862
english	9	9867
engross	6	9876
enhanc	4	9882
enigmat	1	9886
enjoy	37	9887
enlist	1	9924
ennio	4	9925
enough	29	9929
enquir	2	9958
ensnar	1	9960
ensu	1	9961
entail	1	9962
enter	3	9963
entertain	27	9966
enthral	1	9993
enthusiasm	1	9994
enthusiast	1	9995
entir	21	9996
entranc	1	10017
entri	1	10018
entrust	1	10019
envious	1	10020
environ	1	10021
enzym	1	10022
epic	4	10023
episod	8	10027
epitom	1	10035
equal	8	10036
equival	2	10044
era	1	10046
eras	2	10047
eric	1	10049
ernestin	1	10050
erot	2	10051
errat	1	10053
errol	1	10054
error	2	10055
esai	2	10057
escal	2	10059
escap	7	10061
especi	21	10068
esqu	1	10089
essay	1	10090
essenc	1	10091
essenti	4	10092
est	1	10096
establish	2	10097
estevez	1	10099
esthet	1	10100
estrang	2	10101
et	2	10103
etc	6	10105
ethan	2	10111
ether	1	10113
ethic	2	10114
ethnic	2	10116
europ	3	10118
european	1	10121
eva	1	10122
evad	2	10123
evangelist	2	10125
evas	1	10127
eve	1	10128
evelyn	1	10129
even	52	10130
event	11	10182
eventu	8	10193
ever	39	10201
everett	2	10240
everi	28	10242
everybodi	1	10270
everyman	1	10271
everyon	22	10272
everyth	22	10294
everywher	2	10316
evid	5	10318
evil	8	10323
evildo	1	10331
evita	1	10332
evoc	1	10333
evok	2	10334
evolv	2	10336
ewok	1	10338
ex	4	10339
exact	7	10343
exagger	2	10350
examin	7	10352
exampl	8	10359
exceed	2	10367
excel	10	10369
except	16	10379
excess	3	10395
exchang	2	10398
excit	9	10400
exclam	1	10409
exclus	2	10410
excurs	2	10412
excus	2	10414
exec	1	10416
execut	14	10417
exercis	3	10431
exhaust	2	10434
exil	1	10436
exist	13	10437
existenti	1	10450
exit	1	10451
exorcist	1	10452
expand	2	10453
expect	29	10455
expens	2	10484
experi	21	10486
experienc	1	10507
experiment	4	10508
expert	2	10512
explain	3	10514
explan	3	10517
explicit	3	10520
exploit	5	10523
explor	3	10528
export	1	10531
expos	3	10532
express	5	10535
expresso	1	10540
exquisit	1	10541
extemporan	1	10542
extend	4	10543
extens	1	10547
extent	6	10548
exterior	1	10554
extra	2	10555
extradit	1	10557
extran	2	10558
extraordinari	1	10560
extrapol	1	10561
extrem	14	10562
exuber	1	10576
eye	18	10577
f**ker	1	10595
fa	1	10596
facad	1	10597
face	21	10598
facet	1	10619
fact	23	10620
faction	1	10643
factor	4	10644
factori	2	10648
fade	3	10650
fail	9	10653
failur	5	10662
faint	1	10667
fair	26	10668
fairi	2	10694
faith	5	10696
fake	2	10701
falk	1	10703
fall	14	10704
fallibl	2	10718
falsetto	1	10720
falsifi	1	10721
falwel	2	10722
fame	8	10724
famili	21	10732
familiar	8	10753
family/gr	1	10761
famous	6	10762
fan	16	10768
fanci	2	10784
fang	1	10786
fanni	1	10787
fantasi	8	10788
fantast	8	10796
far	21	10804
farc	3	10825
farcic	1	10828
fare	1	10829
farm	4	10830
farmer	3	10834
fart	1	10837
fascin	1	10838
fashion	1	10839
fast	8	10840
fasten	1	10848
faster	1	10849
fat	2	10850
fatal	1	10852
fate	3	10853
father	9	10856
fathom	1	10865
fault	5	10866
favor	4	10871
favorit	12	10875
fbi	1	10887
fear	3	10888
fearless	2	10891
feat	2	10893
featherweight	1	10895
featur	8	10896
fed	3	10904
fee	1	10907
feebl	1	10908
feed	1	10909
feel	40	10910
feet	1	10950
feisti	1	10951
felix	1	10952
fell	3	10953
fellow	5	10956
felt	7	10961
femal	8	10968
femin	1	10976
ferrer	2	10977
ferri	1	10979
fertil	1	10980
fervent	1	10981
festiv	16	10982
fetish	1	10998
feud	1	10999
fever	2	11000
feverish	1	11002
few	35	11003
fgawd	1	11038
fi	1	11039
fianc	2	11040
fiction	9	11042
fidel	1	11051
fidget	1	11052
field	10	11053
fiendish	1	11063
fifteen	2	11064
fifti	3	11066
fiftieth	1	11069
fiftyiz	1	11070
fight	12	11071
fighter	3	11083
figur	13	11086
fill	4	11099
film	120	11103
film...almost	1	11223
film...sort	1	11224
film/book	1	11225
filmic	1	11226
filmmak	15	11227
filthi	2	11242
final	28	11244
financi	3	11272
find	42	11275
fine	11	11317
finess	1	11328
finest	1	11329
finger	4	11330
fingernail	2	11334
finish	4	11336
finn	1	11340
fire	9	11341
firearm	1	11350
firefight	1	11351
fireman	1	11352
firepow	1	11353
firm	7	11354
first	55	11361
fish	1	11416
fisherman	1	11417
fist	1	11418
fit	10	11419
five	17	11429
fix	4	11446
flag	2	11450
flail	1	11452
flair	1	11453
flake	1	11454
flaki	1	11455
flam	1	11456
flamboy	1	11457
flame	1	11458
flap	2	11459
flare	1	11461
flash	4	11462
flashback	3	11466
flashi	1	11469
flat	4	11470
flatfoot	1	11474
flaw	3	11475
flawless	3	11478
fledg	1	11481
fledgl	1	11482
flee	4	11483
fleme	5	11487
flemingss	1	11492
flesh	7	11493
fletcher	1	11500
fleur	1	11501
flew	1	11502
fli	8	11503
flick	3	11511
flilcker	1	11514
flim	1	11515
flinti	1	11516
flip	1	11517
flirt	1	11518
float	2	11519
flood	1	11521
floor	4	11522
florett	1	11526
flower	1	11527
flub	1	11528
fluff	2	11529
flush	1	11531
flute	1	11532
flynn	1	11533
focus	2	11534
foe	1	11536
fogerti	1	11537
foibl	1	11538
foil	3	11539
foley	1	11542
folk	9	11543
follow	23	11552
fond	4	11575
fonda	1	11579
food	7	11580
fool	1	11587
foot	4	11588
footag	1	11592
footbal	1	11593
footed	1	11594
fop	1	11595
foppish	1	11596
for	11	11597
forc	20	11608
forcibl	2	11628
ford	4	11630
fore	1	11634
forebear	1	11635
forebod	1	11636
foreground	2	11637
foreign	7	11639
foremost	1	11646
forerunn	1	11647
foreshadow	2	11648
foreshorten	1	11650
forev	2	11651
forg	2	11653
forget	8	11655
forgett	1	11663
forgot	1	11664
forgotten	2	11665
form	13	11667
formal	1	11680
format	120	11681
former	6	11801
formuala	1	11807
formula	3	11808
forsyth	1	11811
forth	5	11812
forthright	1	11817
forti	1	11818
fortun	7	11819
forward	2	11826
foul	2	11828
found	22	11830
foundat	1	11852
four	19	11853
fourth	5	11872
fox	5	11877
fraction	1	11882
frag	1	11883
fraggl	1	11884
fraley	1	11885
frame	4	11886
franc	2	11890
franci	2	11892
francisco	1	11894
franco	1	11895
frank	11	11896
frankenstein	1	11907
franki	2	11908
frantic	2	11910
fray	1	11912
freak	1	11913
frear	2	11914
freddi	2	11916
free	2	11918
freeberg	1	11920
freelanc	1	11921
freemason	1	11922
french	9	11923
frenet	1	11932
frenzi	1	11933
frequent	3	11934
fresh	1	11937
fret	1	11938
freudian	2	11939
fri	2	11941
friar	1	11943
frick	1	11944
friction	2	11945
friday	7	11947
fridg	1	11954
friend	31	11955
friendship	3	11986
frighten	8	11989
frisbi	1	11997
fritzing	10	11998
from	6	12008
front	5	12014
froth	1	12019
froud	1	12020
frown	1	12021
fruit	2	12022
frustrat	5	12024
fu	1	12029
fulfil	2	12030
full	16	12032
fumbl	1	12048
fume	1	12049
fun	18	12050
function	1	12068
fund	2	12069
funer	1	12071
funicello	2	12072
funni	34	12074
funnier	2	12108
funniest	3	12110
furd	1	12113
furnitur	2	12114
further	6	12116
fuse	3	12122
futur	12	12125
fx	1	12137
g.w	1	12138
gabor	1	12139
gad	1	12140
gadget	2	12141
gadgetri	1	12143
gag	7	12144
gaijin	1	12151
gaili	1	12152
gain	4	12153
galahad	1	12157
galaxi	1	12158
galleri	2	12159
galor	2	12161
galvan	1	12163
gambl	1	12164
game	8	12165
gandhi	1	12173
gang	3	12174
gangbust	1	12177
gangster	4	12178
garber	1	12182
garcin	1	12183
gargantuan	1	12184
gari	7	12185
garner	1	12192
gasp	1	12193
gate	1	12194
gather	1	12195
gave	6	12196
gay	1	12202
gene	4	12203
genealog	1	12207
general	22	12208
generat	6	12230
generous	1	12236
genet	1	12237
genius	1	12238
genr	9	12239
genteel	1	12248
gentil	1	12249
gentl	2	12250
gentleman	1	12252
gentri	1	12253
genuin	7	12254
geoff	1	12261
geoffrey	1	12262
georg	10	12263
gerard	1	12273
german	120	12274
german/west	1	12394
germani	2	12395
gestapo	1	12397
gesticul	1	12398
gestur	2	12399
get	77	12401
ghost	2	12478
ghostbust	2	12480
ghosti	1	12482
ghouli	1	12483
ghoulish	1	12484
giant	4	12485
gibe	1	12489
gibson	3	12490
gielgud	1	12493
gift	1	12494
giggl	2	12495
gilford	1	12497
gilley	1	12498
gilligan	2	12499
gimmick	1	12501
girl	19	12502
girlfriend	8	12521
gist	1	12529
give	46	12530
given	20	12576
glacier	1	12596
glad	3	12597
glanzelius	1	12600
glare	1	12601
glass	3	12602
glazer	1	12605
glazer%osupyr@cposgd	1	12606
glazer@osupyr.uucp	1	12607
glen	2	12608
glide	1	12610
glimps	2	12611
glitzi	1	12613
globus	1	12614
glori	2	12615
gloria	1	12617
glover	3	12618
glow	1	12621
glu	1	12622
glue	1	12623
go	55	12624
goal	3	12679
goblin	1	12682
god	3	12683
godfath	2	12686
godfrey	1	12688
godzilla	1	12689
goe	18	12690
goer	1	12708
gogol	2	12709
golan	1	12711
gold	1	12712
goldberg	1	12713
goldblum	1	12714
golden	3	12715
goldfing	1	12718
goldsmith	1	12719
goldwaith	1	12720
golli	1	12721
gone	9	12722
gonna	1	12731
good	85	12732
goodman	1	12817
goofi	1	12818
goon	1	12819
gooni	2	12820
goos	1	12822
gore	5	12823
gori	1	12828
gosh	3	12829
gospel	2	12832
gossip	3	12834
got	26	12837
gothic	1	12863
gotta	1	12864
gotten	5	12865
gourmand	1	12870
gourmet	2	12871
govern	6	12873
gower	1	12879
grab	1	12880
grace	6	12881
grade	10	12887
gradual	3	12897
graduat	2	12900
grail	2	12902
grain	1	12904
grammar	1	12905
granddaught	1	12906
grandmoth	2	12907
grandpa	1	12909
grant	5	12910
graphic	3	12915
gratifi	1	12918
gratuit	4	12919
gray	1	12923
greas	1	12924
greaser	2	12925
great	37	12927
greater	3	12964
greatest	6	12967
greedi	1	12973
greek	1	12974
green	6	12975
greenberg	1	12981
greg	1	12982
gregori	2	12983
gremlin	2	12985
grenkowitz	1	12987
greta	1	12988
grew	4	12989
griffin	1	12993
griffith	2	12994
grim	1	12996
grin	5	12997
grinch	1	13002
grind	1	13003
grip	2	13004
gripe	1	13006
grisli	1	13007
grist	1	13008
grit	2	13009
gritti	2	13011
groan	1	13013
groceri	3	13014
grodin	2	13017
groovi	1	13019
gross	2	13020
ground	3	13022
group	11	13025
grow	10	13036
grown	1	13046
growth	1	13047
grudg	1	13048
grunt	2	13049
guarante	1	13051
guard	3	13052
guerilla	1	13055
guerra	1	13056
guess	18	13057
guest	5	13075
guid	2	13080
guin	1	13082
guinnesss	1	13083
gulf	2	13084
gum	1	13086
gummi	1	13087
gun	7	13088
gunfight	1	13095
gung	1	13096
gunneri	1	13097
gunpoint	1	13098
gurrah	1	13099
gut	7	13100
guttenberg	1	13107
guy	19	13108
gym	1	13127
gymnast	1	13128
h.i	4	13129
h.i.	1	13133
habit	3	13134
hack	1	13137
hackford	1	13138
hackman	2	13139
hadnt	1	13141
haggarti	1	13142
hail	3	13143
hair	6	13146
hal	1	13152
half	22	13153
halfway	1	13175
hall	1	13176
halliwel	2	13177
hallstrom	1	13179
hallucin	1	13180
ham	1	13181
hammer	2	13182
hammett	1	13184
hammi	1	13185
hand	21	13186
handgun	1	13207
handl	2	13208
handsom	2	13210
handyman	1	13212
hanford	1	13213
hang	9	13214
hanger	1	13223
hannah	4	13224
happen	21	13228
happi	7	13249
happili	1	13256
hard	21	13257
harden	1	13278
hardest	1	13279
hardship	1	13280
hardwar	1	13281
hark	1	13282
harlan	1	13283
harlem	1	13284
harm	1	13285
harmless	1	13286
harmon	1	13287
harmoni	1	13288
harri	5	13289
harrison	1	13294
harsh	2	13295
harvest	1	13297
harvey	1	13298
has	3	13299
hasnt	5	13302
hat	2	13307
hate	11	13309
hatr	2	13320
hauer	2	13322
hauff	1	13324
haunt	1	13325
have	29	13326
haven	1	13355
havent	2	13356
hawaii	1	13358
hawk	2	13359
hazard	1	13361
he	86	13362
head	22	13448
headed	1	13470
header	1	13471
headmistress	1	13472
headquart	2	13473
headroom	1	13475
heal	1	13476
healer	1	13477
health	2	13478
healthi	2	13480
heap	1	13482
hear	12	13483
heard	9	13495
heart	14	13504
heartthrob	1	13518
heat	1	13519
heavi	3	13520
heavili	4	13523
heck	3	13527
hed	3	13530
hedon	1	13533
height	1	13534
heighten	1	13535
heinlein	1	13536
heir	2	13537
held	1	13539
helen	4	13540
helicopt	1	13544
hell	4	13545
hellmen	1	13549
helmet	1	13550
help	25	13551
helpless	4	13576
hels	1	13580
hemingway	2	13581
henchman	3	13583
henchmen	2	13586
henderson	2	13588
henri	1	13590
henson	1	13591
her	44	13592
herald	1	13636
here	35	13637
heritag	1	13672
herman	3	13673
hero	15	13676
heroic	3	13691
heroin	4	13694
herring	1	13698
herself	7	13699
hershey	1	13706
hes	20	13707
heterosexu	1	13727
hew	1	13728
hey	1	13729
hi	1	13730
hick	1	13731
hickori	1	13732
hidden	4	13733
hide	4	13737
hideous	1	13741
high	27	13742
higher	1	13769
highest	4	13770
highlight	2	13774
hilar	1	13776
hilari	8	13777
hill	9	13785
him	52	13794
him/herself	1	13846
himself	27	13847
hint	2	13874
hinton	1	13876
hire	9	13877
hiromi	1	13886
his	96	13887
hiss	1	13983
histor	3	13984
histori	5	13987
historian	2	13992
hit	9	13994
hitchcock	1	14003
hitcher	2	14004
hitchhik	3	14006
hitmen/bankrobb	1	14009
hjortsberg	1	14010
hmmmm	1	14011
ho	1	14012
hoa	1	14013
hodg	2	14014
hodgman	1	14016
hoffman	2	14017
hog	2	14019
hokey	1	14021
hold	8	14022
hole	3	14030
holi	2	14033
holli	1	14035
hollywood	15	14036
holm	2	14051
holocaust	3	14053
homag	2	14056
hombr	1	14058
home	19	14059
homework	1	14078
homo	1	14079
homosexu	3	14080
honest	5	14083
honesti	1	14088
honki	1	14089
honor	4	14090
hood	5	14094
hooker	2	14099
hoosier	1	14101
hoover	1	14102
hop	1	14103
hope	22	14104
hopeless	1	14126
hopper	2	14127
horatio	1	14129
hord	1	14130
horizon	1	14131
horn	2	14132
horner	1	14134
horni	1	14135
horribl	2	14136
horrid	1	14138
horrifi	1	14139
horror	16	14140
hors	3	14156
hose	1	14159
hoskin	2	14160
hoskinss	1	14162
hospit	1	14163
host	4	14164
hostag	1	14168
hostil	1	14169
hot	8	14170
hotel	1	14178
hour	21	14179
hourglass	1	14200
hous	13	14201
how	4	14214
howev	28	14218
howl	1	14246
hplab	1	14247
hplabs!hp	1	14248
hplsla	13	14249
hsu	1	14262
hsu@uicsrd.csrd.uiuc.edu	1	14263
html	120	14264
hubba	1	14384
huge	3	14385
huggi	1	14388
hugo	1	14389
huguenot	1	14390
hulk	1	14391
human	26	14392
humanitarian	1	14418
humor	34	14419
hunch	1	14453
hund	1	14454
hundr	4	14455
hundredth	1	14459
hung	1	14460
hunger	1	14461
hungri	1	14462
hunki	1	14463
hunt	6	14464
hunter	4	14470
hur	1	14474
hurri	2	14475
hurt	2	14477
hurtl	1	14479
husband	5	14480
huston	1	14485
hut	1	14486
huxtabl	1	14487
hybrid	1	14488
hype	1	14489
hypochondriac	1	14490
hypocrit	1	14491
hyster	2	14492
hywel	1	14494
i.e	5	14495
ian	4	14500
icepick	1	14504
ick	1	14505
icki	1	14506
icon	1	14507
id	12	14508
idea	24	14520
ideal	7	14544
idealist	1	14551
ident	3	14552
identifi	1	14555
idiot	3	14556
idl	1	14559
idol	1	14560
if	83	14561
ignor	7	14644
ihnp4	2	14651
ihnp4!druhi!tml	1	14653
ihnp4!mtgzy!ecl	1	14654
ihnp4!mtgzz!leep	37	14655
ii	12	14692
iii	6	14704
ill	11	14710
illeg	2	14721
illicit	1	14723
illus	3	14724
illustr	1	14727
ilm	1	14728
im	22	14729
imag	8	14751
imageri	3	14759
imagin	21	14762
imbroglio	1	14783
imit	3	14784
immedi	6	14787
immens	1	14793
immigr	3	14794
immun	1	14797
impact	4	14798
impati	1	14802
imperfect	2	14803
impish	1	14805
implac	1	14806
impli	4	14807
implic	1	14811
implicit	1	14812
import	14	14813
imposs	8	14827
impress	15	14835
improb	2	14850
improv	2	14852
improvis	1	14854
impuls	1	14855
in	26	14856
inabl	1	14882
inaccur	2	14883
inaccuraci	1	14885
inadequ	1	14886
inadequaci	1	14887
inadvert	2	14888
inappropri	2	14890
inc	1	14892
incant	2	14893
incarn	1	14895
incens	1	14896
incent	1	14897
inch	1	14898
incident	4	14899
inclin	1	14903
includ	16	14904
incoher	1	14920
incom	2	14921
incompet	1	14923
incongru	1	14924
inconsequenti	1	14925
inconsist	4	14926
inconveni	1	14930
incorpor	2	14931
increas	4	14933
incred	10	14937
inde	3	14947
independ	1	14950
indestruct	1	14951
index	120	14952
indi	1	15072
indian	1	15073
indiana	5	15074
indic	1	15079
indict	1	15080
individu	3	15081
induc	1	15084
induct	1	15085
indulg	3	15086
industri	6	15089
inept	5	15095
ineptitud	1	15100
inevit	1	15101
inexor	1	15102
inexplic	1	15103
infantryman	1	15104
infect	1	15105
infecti	1	15106
inferior	1	15107
infest	1	15108
infinit	2	15109
inflat	1	15111
influenc	3	15112
influenti	2	15115
inform	4	15117
ingenu	1	15121
ingmar	1	15122
ingredi	3	15123
inh	1	15126
inhabit	4	15127
inher	3	15131
inherit	2	15134
inhuman	1	15136
inimit	1	15137
initi	1	15138
inject	3	15139
injustic	1	15142
inner	2	15143
innerspac	3	15145
innoc	11	15148
innov	2	15159
input	1	15161
insan	4	15162
insecur	2	15166
insensit	1	15168
insert	1	15169
insid	7	15170
insight	2	15177
insinu	1	15179
inspector	1	15180
inspir	7	15181
instanc	2	15188
instant	4	15190
instead	21	15194
instinct	1	15215
institut	2	15216
instructor	2	15218
instrument	1	15220
insuffici	2	15221
insult	3	15223
insurg	1	15226
integr	2	15227
intellectu	3	15229
intellig	11	15232
intend	5	15243
intens	3	15248
intent	3	15251
inter	1	15254
interact	2	15255
interest	35	15257
interfer	1	15292
interim	1	15293
intermesh	1	15294
intern	6	15295
internet	120	15301
interplay	2	15421
interpret	2	15423
interrog	1	15425
interrupt	3	15426
interst	1	15429
interview	6	15430
inth	120	15436
intim	1	15556
intimid	2	15557
into	73	15559
intoler	1	15632
intrigu	4	15633
introduc	9	15637
introduct	2	15646
intrus	1	15648
invad	2	15649
invalid	1	15651
invas	1	15652
inveigl	1	15653
invent	5	15654
investig	6	15659
invinc	1	15665
invis	2	15666
invit	2	15668
involv	15	15670
iola	1	15685
iowa	1	15686
ire	1	15687
iren	1	15688
irish	3	15689
iron	3	15692
ironi	1	15695
ironsid	1	15696
irrelev	2	15697
irresist	1	15699
irrit	2	15700
irwin	1	15702
is	120	15703
isao	1	15823
ishtar	2	15824
ishtarrif	1	15826
isl	1	15827
islam	1	15828
island	8	15829
isnt	21	15837
isol	1	15858
isra	1	15859
issu	1	15860
it	120	15861
it...hop	1	15981
italian	5	15982
italian/american	1	15987
itami	1	15988
itch	1	15989
itd	2	15990
itll	1	15992
itself	12	15993
iv	3	16005
ivan	1	16008
ive	21	16009
jabba	1	16030
jack	9	16031
jacket	3	16040
jacquelin	2	16043
jaffrey	1	16045
jail	3	16046
jame	10	16049
jami	1	16059
jane	2	16060
januari	1	16062
japan	3	16063
japanes	2	16066
jaquellin	1	16068
jar	2	16069
jareth	1	16071
jarman	1	16072
jarmusch	1	16073
jason	1	16074
jaw	1	16075
jay	1	16076
jazz	1	16077
jealous	1	16078
jean	1	16079
jeann	1	16080
jedi	1	16081
jeff	31	16082
jefferson	1	16113
jennif	2	16114
jerk	1	16116
jerker	1	16117
jerki	1	16118
jeroen	1	16119
jerri	5	16120
jersey	1	16125
jesus	2	16126
jet	1	16128
jew	2	16129
jewel	1	16131
jewish	3	16132
jim	3	16135
jimmi	2	16138
jitterbug	1	16140
jive	2	16141
jivetim	1	16143
joan	1	16144
joann	2	16145
joaquim	1	16147
job	20	16148
jock	1	16168
joe	9	16169
joel	4	16178
jogger	1	16182
john	23	16183
johnni	2	16206
johnson	1	16208
join	5	16209
joisey	1	16214
joke	16	16215
joker	1	16231
jolla	1	16232
jolli	1	16233
jolt	1	16234
jon	1	16235
jonathan	2	16236
jonathon	1	16238
jone	7	16239
jonnson	1	16246
jonsson	1	16247
jordan	1	16248
jorg	1	16249
jose	1	16250
joseph	1	16251
joshua	1	16252
journal	1	16253
journalist	1	16254
journey	3	16255
jovial	1	16258
joy	3	16259
jr	2	16262
judg	2	16264
judgement	2	16266
judici	1	16268
juli	5	16269
juliet	1	16274
jump	4	16275
jumpin	1	16279
jungl	3	16280
junior	2	16283
just	69	16285
justic	2	16354
justifi	2	16356
juvenil	1	16358
juxtaposit	1	16359
juzo	1	16360
kael	1	16361
kamil	1	16362
kan	1	16363
kane	1	16364
kansa	1	16365
kao	1	16366
kaplan	1	16367
kara	2	16368
karat	2	16370
kassar	1	16372
kastner	1	16373
kati	1	16374
kawashima	1	16375
kay	1	16376
keach	1	16377
keani	1	16378
keep	20	16379
keith	2	16399
ken	2	16401
kennedi	1	16403
kenneth	3	16404
kent	1	16407
kentucki	2	16408
kept	6	16410
kernel	1	16416
kevin	3	16417
key	3	16420
keynot	1	16423
kgb	1	16424
kick	3	16425
kid	18	16428
kidder	1	16446
kiddi	1	16447
kidnap	5	16448
kill	29	16453
killer	4	16482
kim	3	16486
kind	24	16489
kinda	1	16513
king	8	16514
kingpin	1	16522
kinki	1	16523
kinnaman	1	16524
kirsti	1	16525
kiss	3	16526
kitchen	2	16529
klan	1	16531
klaus	1	16532
klutz	1	16533
klux	1	16534
knew	12	16535
knife	1	16547
knock	7	16548
knockout	1	16555
know	47	16556
knowledg	2	16603
known	18	16605
knuckl	1	16623
koji	1	16624
kolchak	1	16625
kong	2	16626
koyaanisqatsi	1	16628
krabb	1	16629
kramden	1	16630
kroeger	1	16631
krypton	1	16632
kryptonian	1	16633
ku	1	16634
kubrick	3	16635
kudo	2	16638
kung	1	16640
kurosawa	1	16641
kurt	1	16642
kuykendal	1	16643
l.a	1	16644
la	5	16645
lab	1	16650
label	2	16651
labor	1	16653
laboratori	1	16654
labyrinth	1	16655
lack	13	16656
lacklust	1	16669
ladi	3	16670
ladyhawk	1	16673
ladyship	1	16674
lagoon	1	16675
lake	1	16676
lam	2	16677
lame	1	16679
lament	2	16680
lami	1	16682
lampoon	2	16683
land	4	16685
landiss	1	16689
landscap	3	16690
lane	1	16693
langlaan	1	16694
languag	6	16695
lap	1	16701
laps	3	16702
lar	1	16705
larg	13	16706
larger	2	16719
larison	1	16721
laser	4	16722
laskodi	1	16726
lass	1	16727
last	38	16728
late	8	16766
later	12	16774
latest	11	16786
latin	1	16797
latter	8	16798
laugh	24	16806
laughabl	1	16830
laughter	1	16831
launderett	1	16832
laundrett	2	16833
lauri	1	16835
lavish	2	16836
law	8	16838
lawn	1	16846
lawrenc	1	16847
lawyer	1	16848
lax	1	16849
layer	2	16850
lazenbi	1	16852
lbl	28	16853
le	1	16881
lead	16	16882
leader	3	16898
leadership	1	16901
leagu	2	16902
lean	2	16904
leap	1	16906
learn	8	16907
leas	1	16915
least	21	16916
leav	21	16937
lecher	1	16958
led	3	16959
lee	5	16962
leec	1	16967
leeper	42	16968
leer	1	17010
leeway	1	17011
left	20	17012
leg	2	17032
legend	3	17034
legendari	1	17037
legion	1	17038
lei	1	17039
leit	1	17040
leiter	1	17041
leland	1	17042
lembeck	1	17043
lemmon	1	17044
length	3	17045
leon	2	17048
leonard	1	17050
leonardo	1	17051
leong	1	17052
leopard	1	17053
lepk	1	17054
lesbian	1	17055
lesli	3	17056
less	25	17059
lesser	3	17084
lesson	4	17087
let	26	17091
leter	1	17117
lethal	4	17118
letter	5	17122
level	14	17127
