Filename 	 Title 	 Reviewer 	 Snippet 	 Rate
0023.html	Blind Date (1987)	Steve Fritzinger	Walter has a problem. He needs a date for a dinner party being thrown for one of his firms biggest clients. His regular girlfriend has stood him up at the last minute, and now he's desperate. Walter finally accepts a blind date with Nadia, a friend of his sister-in-law, and, ignoring the warnings of his sister-in-law, allows her to drink.	P
 

 
0024.html	Blind Date (1987)	Mark R. Leeper	Blake Edwards has been making comedies for a long time. He may be best known for the Inspector Clouseau films that starred Peter Sellers. Edwards has turned out a comedy every year or so since the mid Fifties, and since the early Seventies he has made little but comedies. Many of his comedies have been uproariously funny like THE PARTY, but in my opinion he is having some trouble keeping up the level of his humor and his comedies work nowhere nearly as well as they once did.	NA
 

 
0025.html	Toxic Avenger, The (1985)	Mark R. Leeper	Capsule review: This is a feeble parody on super-hero comics that seems to have a following purely because it knocks New Jersey. It has crude production values, weak humor, and an inexplicable following. Generally I am not all that fond of parodies. A film gets no points just for being satirizing.	N
 

 
0026.html	Burglar (1987)	Jeff Meyer	I hate having to echo Siskel & Ebert, but something *has* to be done about getting Whoopi Goldberg some decent scripts. Her latest film, BURGLAR, once again tantalizes us with brief glimpses of potential, but smothers it under ridiculous plotting and inadequate backup from supporting characters. The fact that I left the movie liking Goldberg's character, DESPITE some of the lines/situations that had been fed to her, says what kind of actress she is; she has a lot of charisma.	N
 

 
0027.html	Hoosiers (1986)	Jeff Meyer	HOOSIERS is the first sports movie since THE NATURAL that I've liked, and maybe that's not surprising. After ROCKY came out, there were about fifty billion "sports underdog" films out, most of them pretty poor: track & field, gymnastics, kung fu, even bowling. But I've always found both basketball and baseball to be the two "romantic" American sports--the two sports where a group of people work together as a unit to accomplish a goal, where the disparate personalities are fused into a team.	P
 

 
0028.html	Lily Tomlin (1986)	Billy Green	First of all, I wish to separate myself from "Enquiring Minds Want To Know" critics who went to this film hoping to see rumors come to life on the screen. I refuse to say things like, "What this film is *really* about is what the film will not show us, and about what Lily didn't want the filmmakers to reveal."	NA
 

 
0030.html	'Breaker' Morant (1980)	Steve Upstill	Speaking of unknown great movies, here is a short list of unknown/forgotten films that populate my all-time-favorite list. Face in the Crowd (1957) -- The writer-director team of the earlier Marlon Brando classic "On The Waterfront" collaborated on this melodrama of a bum from the South who gets on the radio and becomes what is now known as a media celebrity in the early days of television.	P
 

 
0031.html	Stunt Man, The (1980)	Neil Pollner	I have been enjoying reading about the various movies that people have been posting to this discussion of "great unknown movies." It must be obvious by now that one man's great unknown is another mans "sure everyone knows that." Be that as it may, here are my favorite "great unknown movies."	P
 

 
0032.html	Brother Sun, Sister Moon (1973)	Mark R. Leeper	There has been a good deal of discussion about unsung films (many of which among the film fans I know are at least somewhat "sung"). I want to recommend a film that I have never heard anyone else recommend. What makes it even odder is that it is a religious film and I generally hate religious films.	P
 

 
0033.html	Long Riders, The (1980)	Billy Green	Another western (and I don't generally like westerns). Like GREASER'S PALACE, though, I don't really consider this one to be so much of a western. The focus of this film is the characters, not their guns. This is the western with the best gimmick of the decade--the James brothers are played by James and Stacy Keach; the Younger brothers are played by David, Keith and Robert Carradine; the Miller brothers are played by Dennis and Randy Quaid; and Bob and Charlie Ford are played by Nicholas and Christopher Guest--four sets of brothers played by four sets of brothers.	NA
 

 
0034.html	Greaser's Palace (1972)	Billy Green	So you say that you thought HAIL MARY was controversial? This one makes HAIL MARY look like HOW THE GRINCH STOLE CHRISTMAS. Imagine, if you will, this scene. It is the old west. In a small town built around a saloon (called, "Greaser's Palace"), all the locals are gathered for the show.	NA
 

 
0035.html	Sherman's March (1986)	Tod Kuykendall	SHERMAN'S MARCH is an interesting, somewhat offbeat movie by an indie filmmaker. A brief summary follows: Scene New York: Young struggling filmmaker from the South gets a grant to make a documentary about General Sherman's devastating march through the South. Before he can start, however, his girlfriend dumps him and throws his life into chaos.	NA
 

 
0036.html	Raising Arizona (1987)	Gary Benson	CAPSULE: Terrific fun, probably destined to become a cult classic. This is the most fun I've had at a movie since BRAZIL. (Before BRAZIL, it was SILVER STREAK). That should tell you something about my orientation, so if you *hated* BRAZIL, you can probably stop reading now and assume you're going to loathe RAISING ARIZONA, too.	P
 

 
0037.html	Swimming to Cambodia (1987)	Steve Upstill	SWIMMING TO CAMBODIA is an hour and a half of a man talking. Spalding Gray spent several weeks in Thailand acting a small part in the film THE KILLING FIELDS, and this film (a record of his performance before a live audience, in a perfomance gallery in New York) is a monologue about events and observations surrounding the filming, including the decimation of Cambodia, the nature of Hollywood reality, the fleshly pleasures of Bangkok, the Gulf of Siam, drugs, American foreign policy, relationships and himself, Spalding Gray.	P
 

 
0038.html	Creepshow 2 (1987)	E. Stephen Mack	Even though... ...I was born in 1967, I am a big fan of EC Comics-style horror tales of the early 60's. CREEPSHOW and CREEPSHOW II [directed and screenplay by George Romero, based on stories by Stephen King] certainly pay homage to these comics, fondly perpetuating the style and its numerous conventions.	N
 

 
0039.html	Secret of My Succe$s, The (1987)	Greg Woods	This is Michael J. Fox's ("Family Ties," BACK TO THE FUTURE) new movie. It is about a Kansas kid (Fox) who comes to New York to make it to the top. Old plot. It is fairly predictable all the way through, and requires a great deal of suspension of disbelief to enjoy, as Fox's character is repeatedly doing stupid, outrageous things that have no apparent purpose other than to get him into funny, sticky situations.	P
 

 
0040.html	Sherman's March (1986)	Jeff Meyer	It doesn't happen very often: you go to see a film that everyone--and I mean EVERYONE, from Siskel and Ebert on up to your closest friends, has said is a wonderful movie. And you sit through the film without enjoying it one whit. As I said, unusual; that you should be the only one who fails to applaud it, among all your peers, seems...	P
 

 
0042.html	Extreme Prejudice (1987)	Jeff Meyer	Warning: anyone offended by blatant, leering machismo had better avoid this film. Or lots of blood & guts, men against men and mano-et-mano stuff. In other words, it's a Walter Hill film! With a John Milius script! I always picture these guys getting together and producing a movie between arm-wrestling matches.	N
 

 
0043.html	Abel (1986)	Jeff Meyer	Seen at the Seattle Film Festival: ABEL (Netherlands, 1986) Director/Writer: Alex van Warmerdam Cast: Alex van Warmerdam, Henri Garcin, Olga Zuiderhock, Annet Matherbe Subtitled ABEL is that standard staple of films everywhere, the family farce. Here we have a penthouse apartment inhabited by Abel, a 31-year-old eccentric who has never left the house, and likes to try to kill flies with scissors; and his parents, a Valkyrie-like mother, Dove, who indulges her son's behavior, and the strict, parochial father, Victor, who attempts to have them all lead a "normal life"--though his definition of normal is not particularly wide-spread (thank goodness!).	N
 

 
0044.html	Odd Birds (1985)	Jeff Meyer	Seen at the Seattle Film Festival: ODD BIRDS (USA, 1986) Director/Screenwriter: Jeanne Collachia Cast: Michael Moriarty, Donna Lei Ming Lew, Nancy Yee Ever have a film that, upon panning it, makes you feel like Snidely Whiplash? Makes you feel as if you tripped Shirley Temple and were proceeding to kick her in her little ribs? Well, I'm going to have to give "thumbs down" to ODD BIRDS, and I don't like having to do it very much, because the film has some good concepts and some nice acting, ruined by awful technical work and an ending that has to be seen to be believed.	P
 

 
0045.html	Hollywood Shuffle (1987)	Mark R. Leeper	Capsule review: TV situation comedy punctuated with hilarious skits. Robert Townsend produced, directed, and starred in this comedy about the lack of roles for black actors in Hollywood. The story could have been better but the humor of the skits was right on target. What should I tell you about it.	P
 

 
0046.html	Seven Waves Away (1957)	Mark R. Leeper	Capsule review: This is the story of an overcrowded lifeboat. It is a good treatment of the hard decision between being humanitarian and risking killing everyone on the lifeboat or being crueller but more realistic. This film tells more about the nature of disaster and how people react to it than all the disaster films Irwin Allen ever made.	P
 

 
0047.html	Vergeßt Mozart (1985)	Jeff Meyer	FORGET MOZART is an interesting sideshow--and certainly a different approach--to another movie that recently dealt with the life (and death) of Mozart, AMADEUS. A West German production, FORGET MOZART was shot on the same sets--sometimes during recesses in the AMADEUS schedule--and the rest shot after AMADEUS had finished, but had not yet torn down the sets.	N
 

 
0048.html	Mitt liv som hund (1985)	Jeff Meyer	Seen at the Seattle Film Festival: MY LIFE AS A DOG (Sweden, 1985) Director: Lasse Hallstrom Screenwriters: Lasse Hallstrom, Brasse Brannstrom, Pelle Berglund, Reidar Jonsson, from the novel by Jonnson Cast: Anton Glanzelius, Anki Liden, Tomas von Bromssen, Melinda Kinnaman Sub-titled Several years ago, I saw FANNY AND ALEXANDER, Ingmar Bergmen's (supposedly) last picture, which was being hailed everywhere for its beauty and the lightness of tone it contained (especially when compared with much of the directors other work).	P
 

 
0049.html	Right Hand Man, The (1987)	Jeff Meyer	Various films seen at the Seattle Film Festival: IT'S ALL TRUE/THREE MEN ON A RAFT (U.S.A., 1942/1986) Director: Orson Welles A recently uncovered one-fourth of Orson Welle's planned "docu-drama" of amazing stories around the world named IT'S ALL TRUE, this short dealt with Welle's attempts to document the actions of several Brazilian fisherman in 1942 who had become folk heroes for their fantastic voyage to Rio on a raft.	P
 

 
0050.html	Amazing Grace and Chuck (1987)	Jeff Meyer	Seen at the Seattle Film Festival: AMAZING GRACE AND CHUCK (USA, 1987) Director: Mike Newell Writer/Producer: David Field Cast: Joshua Zuehlke, Alex English, William L. Peterson, Dennis Lipcomb, Jamie Lee Curtis, Gregory Peck Every year--every year at the festival, I wait for that film to come along, that one that just pulls me out of my seat, sticks its face up next to my nose, and roars "SUR-PRISE!" into my bewildered visage.	P
 

 
0052.html	Beverly Hills Cop II (1987)	Steve Fritzinger	No one told Eddie Murphy and Robert D. Wachs that originality counts when they were writing BEVERLY HILLS COP II. Only the names (of the villains) and the crime have been changed to make this sequel. The first 10 minutes of BEVERLY HILLS COP II convinced me I was in for a long 2 hours.	NA
 

 
0053.html	Lepke (1975)	Mark R. Leeper	Capsule review: Minor gangster film about one of the most vicious crime lords and the only major American crime lord ever to get the death penalty. Fidelity to the truth is generally high with occasion serious lapses. Similar material has been done better. I do not watch gangster movies the films.	NA
 

 
0054.html	Koyaanisqatsi (1983)	Stuart Cracraft	(This is a Francis Ford Coppola presentation, produced and directed by Godfrey Reggio, music by Philip Glass, cinematography by Ron Fricke.) This film is a visually dazzling, audio-inspiring, vaguely anti-war statement. It is pretty transparent, and I knew we were in trouble about 10 minutes into this film when it switched from beautiful nature landscapes to big, ugly man-made machines.	NA
 

 
0055.html	Beyond the Valley of the Dolls (1970)	Craig Good	I recently had the--um--opportunity to see BEYOND THE VALLEY OF THE DOLLS at the Pacific Film Archive in Berkeley. Among the odiferous genre known as Badfilm this one stands out as a pungent weed: a film that is skillfully bad. Imagine all the worst of the late Sixties (the film was made in the early Seventies) strained through a Hollywood point of view and sliced like a microtome sample right through the silliest parts.	N
 

 
0056.html	La Bamba (1987)	Clark Quinn	Starring: Esai Morales, Rosana DeSoto, Elizabeth Pena, Joe Pantoliano, Lou Diamond Phillips Music by: Carlos Santana and Miles Goodman Director of Photography: Adam Greenberg Executive Music Producer: Joel Sill Executive Producer: Stuart Benjamin Produced by: Taylor Hackford and Bill Borden Written and Directed by: Luis Valdez Luis Valdez (ZOOT SUIT) has crafted a lively, earthy, fond remembrance of Richard Valenzuela, who became famous as Ritchie Valens ("it could have been Richie Zuela").	P
 

 
0057.html	Personal Foul (1987)	Jeff Meyer	Seen at the Seattle Film Festival: PERSONAL FOUL (USA, 1987) Director/Writer: Ted Lichtenhaeld Cast: David Morse, Adam Arkin, Susan Wheeler Duff, F. William Parker This is a film that I was inclined to like at the outset: the two main characters had been involved with the fine television drama ST. ELSEWHERE for several years, and I had understood that the director/screenwriter had written for the show on occasion also.	P
 

 
0058.html	High Season (1987)	Jeff Meyer	Various films seen at the Seattle Film Festival: SOUTH BANK SHOW: MICHAEL POWELL (Great Britain, 1986) Director: David Hinton A pair of interesting filmmaker documentaries came along this week: one about Michael Powell, half of "The Archers," the famous team of Powell & Pressberger who dominated the British film industry during the 1940s and early 1950s, and influenced so many other British filmmakers.	N
 

 
0060.html	Star Wars (1977)	Mark R. Leeper	This year marks the tenth anniversary of George Lucas's STAR WARS. I think it is fairly safe to say that for the fantasy film genre and for the film industry as a whole, the decade has been very different than might have been expected when Fox was telling theaters that if they wanted to show THE OTHER SIDE OF MIDNIGHT they would also have to book this science fiction film, STAR WARS.	N
 

 
0061.html	Ishtar (1987)	Neil Pollner	Monday night while most of the world seemed to be on interstate roads, I took time out to see ISHTAR at my local theater (where everyone that wasn't on an interstate road was watching BEVERLY HILLS COP 2). And yes, I do go to movies that are younger then 10 years old in spite of comments made about the quote of the week contest! Be that as it may, I found ISHTAR to be an extremely funny and enjoyable film.	NA
 

 
0062.html	Ishtar (1987)	Neil Pollner	I went and saw a 40-million dollar movie today--but guess what: it only cost me $4.50. And I adored it! I call that a deal. What's scary is that I almost didn't see this film because of all the negative reviews. Most critics branded ISHTAR a barely humorous, overly costly disaster.	P
 

 
0063.html	Untouchables, The (1987)	Steve Upstill	5) Do you appreciate a script which NEVER makes you wince, and which consistently concocts novel, interesting approaches to pedestrian material and manages to take several surprising turns? 9) Can you tolerate realistic bloodshed in the service of terrific action? 10) Do you respond to a little food for thought subservient to action? If you answered positively to the majority of these questions, have I got a movie for you.	P
 

 
0064.html	Untouchables, The (1987)	Mark R. Leeper	There are lots of ways to make a gangster film. You can make it as realistic as THE GODFATHER or as romanticized as A POCKET FULL OF MIRACLES. You can do a BONNIE AND CLYDE where the crooks are giants and the cops are midgets, or you can make the crooks vermin and the cops squeaky-clean personifications of purity and virtue as was done in THE FBI STORY and the TV show THE UNTOUCHABLES.	P
 

 
0065.html	Prick Up Your Ears (1987)	Thuan N. P. Nguyen	Summary: This new movie directed by Stephen Frears (THE HIT, MY BEAUTIFUL LAUNDRETTE) chronicles the relationship between British playwright Joe Orton and his lover Kenneth Halliwell. The story is [humorously] told through flashbacks and interviews with Orton's agent and relatives. The sixteen years from the time Orton meets Halliwell to the time Halliwell bludgeons Orton to death are basically scenes from a failed marriage.	P
 

 
0066.html	Prick Up Your Ears (1987)	Mark R. Leeper	Capsule review: The true story of the homosexual relationship of successful playwright Joe Orton and his equally talented but much less successful "wife," Kenneth Halliwell. This is a solid dramatic film and one of the year's best. It would be nice to feel that success is a matter of talent also.	P
 

 
0067.html	Believers, The (1987)	Hal Render	I just saw THE BELIEVERS last night. Overall impression: pretty scary. The film details the involvement of a police psychiatrist (Martin Sheen) in a string of grisly crimes which involve an ancient Caribbean religion. The pace escalates as Sheen's family become threatened, and the power of the forces against him become overwhelming.	P
 

 
0068.html	Believers, The (1987)	Mark R. Leeper	Capsule review: Ugly, unpleasant urban horror film about a voodoo-like religion in New York City. There is nothing original or creative and little enjoyable in the film. If John Schlesinger can make films like MIDNIGHT COWBOY, that's really what he should be doing. There hasn't been a horror film like while.	N
 

 
0069.html	Witches of Eastwick, The (1987)	Mark R. Leeper	Capsule review: Broadband supernatural comedy has insight, slapstick, violence, horror, special effects, sophisticated comedy, profanity, a monster, vomit scenes, Jack Nicholson, Michelle Pfeiffer, Susan Sarandon, and Cher. For fans of six or seven of the above only. John Updike is a prize-winning writer of serious literature about people finding their thing.	NA
 

 
0070.html	Untouchables, The (1987)	Jeff Meyer	It strikes me as appropriate that THE UNTOUCHABLES comes out approximately ten years after STAR WARS opened, because this film belongs to a tradition that began with George Lucas's classic space opera, the high-charged "Summer Spectacular" (nit-pickers could argue that Spielberg's JAWS began it all, but there was too many lackluster summer seasons between JAWS and the next blockbuster hit, STAR WARS, for me to set the origin at that point).	P
 

 
0071.html	Predator (1987)	Mark R. Leeper	Capsule review: Arnold Schwarzenegger meets an alien with a cloaking device while on a commando mission in Central America. Action films are pretty common, but the concept of the cloaking device coupled with decent special effects are a boon. When I was growing up and into comics, one kind of comics.	P
 

 
0072.html	Tampopo (1986)	Mark R. Leeper	Capsule review: High-calorie comedy about one restaurant's quest for the perfect noodle soup. Enjoyable comedy from Japan includes several comedy sketches unrelated to the main story, but which help to buoy it up. Are you into food? I mean, are you REALLY into food? And when you get the food, Studios.	P
 

 
0073.html	Tampopo (1986)	Jeff Meyer	I have to give credit to the Japanese filmmakers over the last two years; they are producing some of the funniest films to grace the Film Festival. Latest in the rostrum (and heavily recommended via word of mouth from NPR, Pauline Kael) is TAMPOPO, a story of a widowed noodle cook, a truck driver who seems to be John Wayne on the side, a vagrant food connoisseur, a churlish contractor with a heart of gold, and a gangster who seems to be combining his passion for food and his passion for his sexy moll.	P
 

 
0074.html	Witches of Eastwick, The (1987)	Jeff Meyer	I'm not sure I should be writing a review of THE WITCHES OF EASTWICK, because I'm not sure just what the hell (pardon the expression) was going on in it. However, I can express the most important observation I made of it, i.e. I didn't like it. If I had to summarize this film, I think I'd conclude it was an updating of one of those old New England folk tales of someone selling their souls to Old Scratch and how they try to get out of the deal.	P
 

 
0075.html	Witches of Eastwick, The (1987)	Martin Maenza	I saw THE WITCHES OF EASTWICK on its opening weekend, and I found it to be a highly interesting movie. I would recommend it to moviegoers--especially those who like their drama with a slight bit of comedy. I would not in the least place this film in a genre of horror films since it is not horror as in FRIDAY THE 13TH (you chose a part) and its like.	N
 

 
0076.html	Harry and the Hendersons (1987)	Bernie Keany	I've decided I now know what reviewers are trying to say when they say a film has an "E.T." quality. What they mean is: "Are we really going to treat the first thing we don't understand this way? Will we poke, prod, cage and perhaps even surgically examine another living being in order to understand it?" Well, until I'm sure the answers to the above questions are no, I guess people should continue to make movies about the subject.	P
 

 
0077.html	Full Metal Jacket (1987)	Mark R. Leeper	Well, the Vietnam War film seems to be with us at last. While the war went on and for a good while afterward it seemed a taboo subject. People, and in particular film backers, did not want to make films about so downbeat a subject. With the passing of time some of the wounds have healed and we have some gung-ho Vietnam films.	P
 

 
0078.html	Full Metal Jacket (1987)	Craig Good	Stanly Kubrick hasn't made a movie since THE SHINING, making FULL METAL JACKET one of the most anticipated films of the year. It would be a mistake to call it a "me too" follow-up to PLATOON, but comparisons between the two films are going to be unavoidable. What they share in common, along with APOCALYPSE NOW, is the very real sensation that you have just lived through something.	N
 

 
0079.html	Project X (1987)	Mark R. Leeper	The last time I watched John Badham's film WARGAMES (at least I hope it was the last time!), I counted what I thought were technical errors in the film. I came up with an average of one every 120 seconds. When I read that the scripters of WARGAMES had produced a new film, PROJECT X, my excitement knew very strict bounds.	P
 

 
0080.html	Weapons of the Spirit (1990)	Jeff Meyer	This is not a particularly good world, or a good country, or a good era, for idealists to live in. Cynicism is easily promoted in almost every moral and ethical area involved in our lives: scandals in religion, conflicts of interests in politics, general apathy in dealing with what once were national ideals.	N
 

 
0081.html	Ping Pong (1986)	Jeff Meyer	Seen at the Seattle Film Festival: PING PONG (Great Britain, 1986) Director: Po Chih Leong Screenwriter: Jerry Liu Cast: Lucy Sheen, David Yip, Robert Lee, Lam Fund, Victor Kan I'll be darned.... Another 'A' film, to take its place alongside AMAZING GRACE AND CHUCK, MY LIFE AS A DOG, and WEAPONS OF THE SPIRIT.	P
 

 
0082.html	Innerspace (1987)	Tim Larison	INNER SPACE, the latest release produced by Steven Spielberg, is a fun two-hour romp with the same flair that made BACK TO THE FUTURE such a hit. The story involves a top-secret military project to inject a miniaturized pilot and his high-tech submarine into the blood stream of a rabbit. Unfortunately, the bad guys find out about the project, and raid the laboratory just before the experiment is to take place.	NA
 

 
0083.html	Personal Services (1987)	Jeff Meyer	Seen at the Seattle Film Festival: PERSONAL SERVICES (Great Britain, 1986) Director: Terry Jones Screenwriter: David Leland Cast: Julie Walters, Alec McCowen, Shirley Stelfox, Danny Schiller This is, unless you are rather prudish about sexual matters, a pretty funny film, but it really doesn't get rolling until after the first half-hour, so have a little patience.	N
 

 
0084.html	Straight to Hell (1987)	Jeff Meyer	Seen at the Seattle Film Festival: STRAIGHT TO HELL (USA, 1987) Director: Alex Cox Screenwriters: Alex Cox, Dick Rude Cast: Joe Strummer, Cy Richardson, Dick Rude, Courtney Love, Dennis Hopper, Grace Jones, Elvis Costello, Jim Jarmusch, and The Pogues Certainly one of the most eagerly awaited films at this year's Film Festival was Alex Cox's STRAIGHT TO HELL; Cox has produced two other films, REPO MAN and SID AND NANCY, which garnered both critical and popular acclaim, especially REPO MAN.	N
 

 
0085.html	Predator (1987)	Steve Fritzinger	Arnold Schwarzenegger leads a team of elite mercenaries through a Central American jungle to rescue a captured "Cabinet Minister" from communist-backed rebels. Along the way he deals with a treacherous CIA agent, about a hundred insurgents, and an alien sportsman doing a little trophy hunting. The "plot" of PREDATOR is only a set-up for the long hunt scene that takes up 3/4 of the movie.	P
 

 
0086.html	Spaceballs (1987)	Craig Good	Gary Rydstrom, the talented sound designer who did "Luxo Jr." for us, told me about his plans to record some laughing children for our next film. He said it was going to be easy to make the whole day care center giggle: just say "underpants." I can't help but feel that Mel Brooks is just as easy to amuse.	P
 

 
0087.html	Coming Up Roses (1986)	Jeff Meyer	This is certainly one of the more unusual films to come along during the festival--a foreign language film shot in the heart of England. In other words, the film is about a community in Wales, and (properly) the actors speak in Welsh, with English subtitles. The story is reminiscent of the older Ealing comedies of the 1950s--it has the uniquely British low-key humor that permeated so many of Alec Guinness's and Peter Sellers's early films.	P
 

 
